vp ses resp RT key stim inf1 inf2
vp01 ses01 s 1.7052 l stim00 0 0
vp01 ses01 d 0.7044 r stim26 2 6
vp01 ses01 d 0.8199 r stim55 5 5
vp01 ses01 d 1.2084 r stim34 3 4
vp01 ses01 s 1.8429 l stim01 0 1
vp01 ses01 d 1.1497 r stim12 1 2
vp01 ses01 d 0.8955 r stim57 5 7
vp01 ses01 d 1.4872 r stim11 1 1
vp01 ses01 d 0.5531 r stim05 0 5
vp01 ses01 d 0.9651 r stim62 6 2
vp01 ses01 s 0.8775 l stim33 3 3
vp01 ses01 d 0.6273 r stim14 1 4
vp01 ses01 d 0.8044 r stim62 6 2
vp01 ses01 d 1.1083 r stim88 8 8
vp01 ses01 d 1.0644 r stim17 1 7
vp01 ses01 s 1.5557 l stim77 7 7
vp01 ses01 d 0.6596 r stim16 1 6
vp01 ses01 d 0.7374 r stim27 2 7
vp01 ses01 d 0.8062 r stim67 6 7
vp01 ses01 d 1.079 r stim30 3 0
vp01 ses01 s 1.4191 l stim33 3 3
vp01 ses01 s 1.0661 l stim01 0 1
vp01 ses01 d 0.7206 r stim72 7 2
vp01 ses01 s 1.011 l stim65 6 5
vp01 ses01 s 1.1303 l stim67 6 7
vp01 ses01 s 1.6258 l stim33 3 3
vp01 ses01 s 1.0338 l stim88 8 8
vp01 ses01 d 0.8227 r stim75 7 5
vp01 ses01 s 1.1615 l stim77 7 7
vp01 ses01 s 1.0404 l stim88 8 8
vp01 ses01 d 0.7793 r stim44 4 4
vp01 ses01 s 1.1499 l stim44 4 4
vp01 ses01 d 1.6091 r stim04 0 4
vp01 ses01 d 1.3863 r stim45 4 5
vp01 ses01 d 1.0136 r stim87 8 7
vp01 ses01 s 0.8505 l stim22 2 2
vp01 ses01 d 0.8064 r stim42 4 2
vp01 ses01 d 1.6633 r stim43 4 3
vp01 ses01 d 0.8524 r stim51 5 1
vp01 ses01 d 1.1662 r stim12 1 2
vp01 ses01 d 1.0967 r stim32 3 2
vp01 ses01 d 1.4846 r stim43 4 3
vp01 ses01 d 1.4708 r stim31 3 1
vp01 ses01 s 1.4202 l stim42 4 2
vp01 ses01 d 1.1166 r stim45 4 5
vp01 ses01 d 0.6586 r stim50 5 0
vp01 ses01 d 0.9048 r stim44 4 4
vp01 ses01 d 0.6675 r stim45 4 5
vp01 ses01 d 0.6639 r stim05 0 5
vp01 ses01 d 0.7744 r stim85 8 5
vp01 ses01 d 0.7961 r stim88 8 8
vp01 ses01 d 0.7363 r stim43 4 3
vp01 ses01 d 0.8028 r stim47 4 7
vp01 ses01 d 0.6667 r stim88 8 8
vp01 ses01 d 0.7331 r stim74 7 4
vp01 ses01 d 0.7349 r stim23 2 3
vp01 ses01 d 0.5831 r stim04 0 4
vp01 ses01 d 0.9581 r stim66 6 6
vp01 ses01 s 1.373 l stim22 2 2
vp01 ses01 d 0.9662 r stim55 5 5
vp01 ses01 d 1.5808 r stim11 1 1
vp01 ses01 d 0.8055 r stim46 4 6
vp01 ses01 d 0.728 r stim58 5 8
vp01 ses01 d 1.1454 r stim88 8 8
vp01 ses01 s 0.9882 l stim12 1 2
vp01 ses01 d 1.0729 r stim68 6 8
vp01 ses01 d 0.7977 r stim30 3 0
vp01 ses01 d 0.6194 r stim17 1 7
vp01 ses01 s 0.9221 l stim43 4 3
vp01 ses01 d 1.2041 r stim35 3 5
vp01 ses01 d 1.2011 r stim22 2 2
vp01 ses01 d 0.7178 r stim62 6 2
vp01 ses01 s 1.0006 l stim65 6 5
vp01 ses01 d 0.9866 r stim55 5 5
vp01 ses01 d 0.9182 r stim78 7 8
vp01 ses01 d 0.7824 r stim47 4 7
vp01 ses01 s 1.3363 l stim57 5 7
vp01 ses01 d 1.1441 r stim43 4 3
vp01 ses01 s 1.2366 l stim23 2 3
vp01 ses01 d 0.9885 r stim21 2 1
vp01 ses01 d 0.8726 r stim00 0 0
vp01 ses01 d 1.2977 r stim58 5 8
vp01 ses01 s 0.7697 l stim22 2 2
vp01 ses01 d 0.647 r stim14 1 4
vp01 ses01 d 0.9768 r stim88 8 8
vp01 ses01 d 0.7955 r stim44 4 4
vp01 ses01 d 1.2171 r stim53 5 3
vp01 ses01 d 0.8322 r stim03 0 3
vp01 ses01 d 0.6887 r stim27 2 7
vp01 ses01 d 0.7373 r stim73 7 3
vp01 ses01 d 0.6382 r stim36 3 6
vp01 ses01 d 0.9661 r stim46 4 6
vp01 ses01 s 1.1987 l stim43 4 3
vp01 ses01 d 0.7797 r stim35 3 5
vp01 ses01 s 1.2661 l stim33 3 3
vp01 ses01 d 1.069 r stim68 6 8
vp01 ses01 d 1.3922 r stim24 2 4
vp01 ses01 d 1.0182 r stim04 0 4
vp01 ses01 d 0.6458 r stim45 4 5
vp01 ses01 d 0.8139 r stim56 5 6
vp01 ses01 d 0.8197 r stim77 7 7
vp01 ses01 d 0.8429 r stim67 6 7
vp01 ses01 s 1.0495 l stim00 0 0
vp01 ses01 d 1.0887 r stim76 7 6
vp01 ses01 d 0.6798 r stim03 0 3
vp01 ses01 s 1.3775 l stim13 1 3
vp01 ses01 d 0.9025 r stim35 3 5
vp01 ses01 d 1.0987 r stim86 8 6
