resp RT id s1 s2 phi1 phi2
s 1.9471 vp01 6.7 7.1 0.182819003493 2.8686599496
s 1.1236 vp01 6.3 6.7 4.78563535382 3.6935840352
s 1.3076 vp01 8.7 8.3 0.947013702333 5.40265558089
s 1.8677 vp01 6.7 6.3 2.9407004927 0.281839561422
d 1.1324 vp01 7.1 7.1 2.2192637656 0.336494848006
s 1.0993 vp01 7.5 7.5 1.99370620374 3.50058845936
d 0.4357 vp01 8.3 6.3 0.703842076029 2.55342274223
s 1.0907 vp01 7.5 7.5 4.21079361175 5.31575722476
d 1.1467 vp01 7.5 7.5 3.37926045545 3.16434632018
s 0.9241 vp01 5.9 5.9 0.190076536782 0.387390666268
d 0.6832 vp01 6.3 8.3 2.75402384772 4.69915663375
s 0.8922 vp01 9.1 9.1 0.277122666255 3.32637823054
s 0.7864 vp01 7.9 7.9 2.80297177956 2.85606354431
d 2.0041 vp01 9.1 7.5 5.33861733672 3.26453563898
s 0.8031 vp01 8.7 9.1 5.30819771857 3.68111809741
d 0.8804 vp01 5.9 7.5 0.500940633378 3.78870411567
d 1.8362 vp01 8.7 7.1 1.60976987581 0.993375866131
d 0.4991 vp01 9.1 7.5 0.311115039791 0.0775766192577
s 0.9637 vp01 6.3 6.7 2.07354393199 5.82669598942
d 0.3079 vp01 6.7 8.7 3.17273269299 1.07273564943
s 0.7318 vp01 9.1 9.1 3.09884696849 2.98782164043
d 1.2436 vp01 7.9 6.7 2.30383555645 0.0726820827254
d 0.6037 vp01 8.3 7.1 1.74017398592 2.22938189938
d 1.4992 vp01 6.3 6.7 4.96879873288 1.74702864391
s 0.8842 vp01 6.7 7.1 0.610549520142 1.07545741278
s 0.6275 vp01 6.7 6.7 0.170130814263 6.06522917698
d 0.6048 vp01 6.3 6.3 0.756668486163 5.39480628676
d 0.6281 vp01 8.3 7.5 1.47542801984 6.18709403688
d 0.796 vp01 8.3 9.1 3.39713605759 4.06819247758
d 1.0519 vp01 6.3 7.1 4.93859861247 0.285979596331
d 0.6669 vp01 7.1 8.3 3.35434994603 3.23039545064
s 1.1167 vp01 6.7 7.1 1.07816477208 5.95949590737
s 2.8261 vp01 8.3 7.9 3.02597201283 1.22156016803
d 1.7789 vp01 8.7 7.5 0.432996960529 0.46601378238
d 0.6825 vp01 6.3 8.3 5.22362089971 1.44091910281
d 1.0758 vp01 7.1 5.9 3.36648624046 2.67579642862
s 1.0753 vp01 7.9 7.9 2.0915594361 1.44204973347
d 0.6039 vp01 6.3 7.1 2.74116707362 3.89180635336
d 0.7732 vp01 7.9 7.5 2.42308508958 1.23760150126
s 0.5307 vp01 8.7 8.7 0.0753474860698 0.568633847968
d 0.4113 vp01 9.1 7.5 4.62826776956 3.75487348487
s 1.3753 vp01 7.9 7.5 2.78630684196 2.87356637325
s 0.7 vp01 8.7 7.9 3.50151824237 3.30214050703
d 1.0755 vp01 6.3 5.9 0.878356696774 4.10291750498
s 1.6283 vp01 9.1 8.3 0.956950630115 4.98301230556
s 0.9152 vp01 5.9 6.7 4.99700775527 4.76627621924
d 0.596 vp01 7.5 5.9 5.11488110687 6.2827108513
s 0.884 vp01 7.1 6.7 3.35485224434 2.43171883194
d 0.6041 vp01 7.5 7.5 2.64899369119 0.582090512707
d 0.6512 vp01 7.1 7.9 2.42691140561 0.303718766623
d 0.5788 vp01 9.1 7.1 1.12596778424 0.303686886426
s 0.9305 vp01 8.3 7.9 5.9276395777 6.04358541062
d 0.9316 vp01 7.1 7.5 1.38640762778 4.55756599222
d 0.9159 vp01 8.3 6.7 3.39719853494 0.239884185977
d 1.8277 vp01 7.1 7.5 1.11716288766 2.03611521966
s 0.9083 vp01 6.7 7.1 5.4796089763 0.736247797336
s 1.6246 vp01 9.1 8.7 5.70045129711 1.52740433234
d 0.4435 vp01 7.9 8.3 4.01206091645 1.50872684806
